Company,Category,Queue Number,Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Judge 8,Judge 9,Judge 10,Judge 11,Judge 12
Bridging the Gap for Women - Level Up with the Entrepreneur Residency ,Advanced Materials,123 since 0 Advanced Materials companies and 2 available judges,Larry Mastrovich -  - Fill-in. All interests are Medical Device/Diagnostics,Phil Calandra -  - Fill-in. All interests are B2B Digital/SaaS,"Ray Vanek -  - Fill-in. All interests are Agriculture, Manufacturing/Supply Chain, Energy/Defense/Environmental",John Bevan Annaloro -  - Fill-in. All interests are Medical Device/Diagnostics,"Maria Bailey -  - Fill-in. All interests are Manufacturing/Supply Chain, Commerce/Retail","Marty Curran -  - Fill-in. All interests are Manufacturing/Supply Chain, Energy/Defense/Environmental, Medical Device/Diagnostics","Pete Effler - Advanced Materials. All interests are B2B Digital/SaaS, Manufacturing/Supply Chain, Advanced Materials","Pat Lemieux -  - Fill-in. All interests are Medical Device/Diagnostics, Drug Development","Misha Shemyakin -  - Fill-in. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, Energy/Defense/Environmental","Jim Farrington -  - Fill-in. All interests are Drug Development, Medical Device/Diagnostics","Emily Stoler -  - Fill-in. All interests are Energy/Defense/Environmental, Medical Device/Diagnostics, Drug Development, B2C Physical Products"
Frontier,Commerce/Retail,51 since 16 Commerce/Retail companies and 70 available judges,"Chris Orenchuk - Commerce/Retail. All interests are B2C Digital/Apps, B2B Digital/SaaS, Commerce/Retail, B2C Physical Products","Colin Keeler - Commerce/Retail. All interests are B2C Physical Products, B2C Digital/Apps, Commerce/Retail, Drug Development","Kerry McNeilly - Commerce/Retail. All interests are Manufacturing/Supply Chain, B2C Physical Products, Energy/Defense/Environmental, Commerce/Retail","Eric Wiechart - Commerce/Retail. All interests are B2C Physical Products, Drug Development, Medical Device/Diagnostics, Manufacturing/Supply Chain, Advanced Materials, Commerce/Retail","Michael Jennings - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Matt VanderGoot - Commerce/Retail. All interests are Energy/Defense/Environmental, Medical Device/Diagnostics, B2C Physical Products, B2C Digital/Apps, B2B Digital/SaaS, Manufacturing/Supply Chain, Advanced Materials, Commerce/Retail","Larry Arseniadis - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Martin Carrasco - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental","Tim Kish - Commerce/Retail. All interests are Commerce/Retail, B2B Digital/SaaS, B2C Digital/Apps","Nitesh Gudapati - Commerce/Retail. All interests are B2C Digital/Apps, Commerce/Retail, B2C Physical Products, B2B Digital/SaaS","Jeffrey Hebig - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products"
G. Grips,Commerce/Retail,54 since 15 Commerce/Retail companies and 67 available judges,T. Drew Mitchell - Commerce/Retail. All interests are Commerce/Retail,"Tim O'Neill - Commerce/Retail. All interests are Commerce/Retail, B2C Digital/Apps, B2B Digital/SaaS","Mike Belatti - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Julie Rotolo - Commerce/Retail. All interests are Commerce/Retail, Agriculture, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Medical Device/Diagnostics, Energy/Defense/Environmental","Ed Daniels - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Advanced Materials, B2B Digital/SaaS","Colin Keeler - Commerce/Retail. All interests are B2C Physical Products, B2C Digital/Apps, Commerce/Retail, Drug Development","Patrick McMahon - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Austin Fazio - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Eric Wiechart - Commerce/Retail. All interests are B2C Physical Products, Drug Development, Medical Device/Diagnostics, Manufacturing/Supply Chain, Advanced Materials, Commerce/Retail","Francis Williams - Commerce/Retail. All interests are B2B Digital/SaaS, B2C Digital/Apps, Energy/Defense/Environmental, Manufacturing/Supply Chain, Advanced Materials, Commerce/Retail, Agriculture, B2C Physical Products, Medical Device/Diagnostics","Evan Doney - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products"
GreenBaby,Commerce/Retail,57 since 14 Commerce/Retail companies and 66 available judges,T. Drew Mitchell - Commerce/Retail. All interests are Commerce/Retail,"Malaina Weldy - Commerce/Retail. All interests are Advanced Materials, Commerce/Retail, B2C Physical Products, B2C Digital/Apps, B2B Digital/SaaS, Manufacturing/Supply Chain","Colin Keeler - Commerce/Retail. All interests are B2C Physical Products, B2C Digital/Apps, Commerce/Retail, Drug Development","Joseph Anderson - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Tom Marek - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Larry Arseniadis - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Tim O'Neill - Commerce/Retail. All interests are Commerce/Retail, B2C Digital/Apps, B2B Digital/SaaS","William O'Brien - Commerce/Retail. All interests are Commerce/Retail, B2C Digital/Apps, B2C Physical Products, B2B Digital/SaaS","Kristopher Priemer - Commerce/Retail. All interests are B2C Physical Products, B2C Digital/Apps, B2B Digital/SaaS, Commerce/Retail","Mike Ferrigno - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, B2C Physical Products, Manufacturing/Supply Chain, B2C Digital/Apps","Kerry McNeilly - Commerce/Retail. All interests are Manufacturing/Supply Chain, B2C Physical Products, Energy/Defense/Environmental, Commerce/Retail"
Jetta’s sweet & salty kettle corn ,Commerce/Retail,64 since 13 Commerce/Retail companies and 57 available judges,"Richard Daniels - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain","Martin Carrasco - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental","Khoa Huynh - Commerce/Retail. All interests are Medical Device/Diagnostics, Drug Development, B2C Physical Products, Commerce/Retail","Andreas Widmer - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Tyler Hudson-Crimi - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Energy/Defense/Environmental","Janet Wolff - Commerce/Retail. All interests are Commerce/Retail, Energy/Defense/Environmental, B2C Physical Products, Medical Device/Diagnostics","Larry Arseniadis - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Tom Marek - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Theron Sarda - Commerce/Retail. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, Commerce/Retail","Justin Hintz - Commerce/Retail. All interests are Commerce/Retail, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products","Patrick Dolan - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain"
Junior Changemakers,Commerce/Retail,69 since 12 Commerce/Retail companies and 56 available judges,"Tim Kish - Commerce/Retail. All interests are Commerce/Retail, B2B Digital/SaaS, B2C Digital/Apps","Joseph Anderson - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Aaron Cleavinger - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Amy Buchan Siegfried - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Tom Marek - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Jay Breeden - Commerce/Retail. All interests are Commerce/Retail, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Manufacturing/Supply Chain","Jeffrey Hebig - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","John Schroeder - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, B2C Physical Products, Manufacturing/Supply Chain, Energy/Defense/Environmental","Tyler Hudson-Crimi - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Energy/Defense/Environmental","Theron Sarda - Commerce/Retail. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, Commerce/Retail","Jane Hennessy - Commerce/Retail. All interests are B2B Digital/SaaS, B2C Digital/Apps, Commerce/Retail"
Legacy LLC,Commerce/Retail,74 since 11 Commerce/Retail companies and 54 available judges,"John Schroeder - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, B2C Physical Products, Manufacturing/Supply Chain, Energy/Defense/Environmental","Mike Ferrigno - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, B2C Physical Products, Manufacturing/Supply Chain, B2C Digital/Apps","Thomas Jensen - Commerce/Retail. All interests are B2C Physical Products, Manufacturing/Supply Chain, Commerce/Retail, B2C Digital/Apps","Jason McCaherty - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products",T. Drew Mitchell - Commerce/Retail. All interests are Commerce/Retail,"Matt VanderGoot - Commerce/Retail. All interests are Energy/Defense/Environmental, Medical Device/Diagnostics, B2C Physical Products, B2C Digital/Apps, B2B Digital/SaaS, Manufacturing/Supply Chain, Advanced Materials, Commerce/Retail","Mike Delany - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain","Ryan Olander - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Colin Keeler - Commerce/Retail. All interests are B2C Physical Products, B2C Digital/Apps, Commerce/Retail, Drug Development","Dhiraj Mehra - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products, Agriculture","Theron Sarda - Commerce/Retail. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, Commerce/Retail"
Making the Shift,Commerce/Retail,82 since 10 Commerce/Retail companies and 46 available judges,"Kerry McNeilly - Commerce/Retail. All interests are Manufacturing/Supply Chain, B2C Physical Products, Energy/Defense/Environmental, Commerce/Retail","Joshua Francis - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products","Larry Arseniadis - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Eric Wiechart - Commerce/Retail. All interests are B2C Physical Products, Drug Development, Medical Device/Diagnostics, Manufacturing/Supply Chain, Advanced Materials, Commerce/Retail","Ellen Dutton - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Maria Bailey - Commerce/Retail. All interests are Manufacturing/Supply Chain, Commerce/Retail","Neil Kane - Commerce/Retail. All interests are Advanced Materials, Commerce/Retail, Energy/Defense/Environmental","Janet Wolff - Commerce/Retail. All interests are Commerce/Retail, Energy/Defense/Environmental, B2C Physical Products, Medical Device/Diagnostics","Doon Wintz - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain","Jason McCaherty - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Richard Daniels - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain"
Manning Beverages LLC,Commerce/Retail,98 since 9 Commerce/Retail companies and 35 available judges,"Kerry McNeilly - Commerce/Retail. All interests are Manufacturing/Supply Chain, B2C Physical Products, Energy/Defense/Environmental, Commerce/Retail","Khoa Huynh - Commerce/Retail. All interests are Medical Device/Diagnostics, Drug Development, B2C Physical Products, Commerce/Retail","Patrick McMahon - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Martin Carrasco - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental","Mike Delany - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain","Maria Bailey - Commerce/Retail. All interests are Manufacturing/Supply Chain, Commerce/Retail","Mike Belatti - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Neil Kane - Commerce/Retail. All interests are Advanced Materials, Commerce/Retail, Energy/Defense/Environmental",T. Drew Mitchell - Commerce/Retail. All interests are Commerce/Retail,"Peter Rienks - Commerce/Retail. All interests are Energy/Defense/Environmental, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS","Tiffany Tibbot - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products"
Netic Nails,Commerce/Retail,99 since 8 Commerce/Retail companies and 34 available judges,"Kerry McNeilly - Commerce/Retail. All interests are Manufacturing/Supply Chain, B2C Physical Products, Energy/Defense/Environmental, Commerce/Retail","Patrick McMahon - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Rudy Reyes Jr. - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Khoa Huynh - Commerce/Retail. All interests are Medical Device/Diagnostics, Drug Development, B2C Physical Products, Commerce/Retail","David Brenner - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products, B2C Digital/Apps, Medical Device/Diagnostics","Jeffrey Heinichen - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Janet Wolff - Commerce/Retail. All interests are Commerce/Retail, Energy/Defense/Environmental, B2C Physical Products, Medical Device/Diagnostics","Ruben Moreno - Commerce/Retail. All interests are Medical Device/Diagnostics, Commerce/Retail","Ryan Olander - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Mike Delany - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain","Doon Wintz - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain"
Project Shadow Band,Commerce/Retail,103 since 7 Commerce/Retail companies and 31 available judges,"Aaron Cleavinger - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Ellen Dutton - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Joseph Anderson - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Amy Buchan Siegfried - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Khoa Huynh - Commerce/Retail. All interests are Medical Device/Diagnostics, Drug Development, B2C Physical Products, Commerce/Retail",T. Drew Mitchell - Commerce/Retail. All interests are Commerce/Retail,"Ruben Moreno - Commerce/Retail. All interests are Medical Device/Diagnostics, Commerce/Retail","Martin Carrasco - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental","Kerry McNeilly - Commerce/Retail. All interests are Manufacturing/Supply Chain, B2C Physical Products, Energy/Defense/Environmental, Commerce/Retail","Patrick McMahon - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","David Brenner - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products, B2C Digital/Apps, Medical Device/Diagnostics"
Resenha/Sambinha Beverage Company,Commerce/Retail,105 since 6 Commerce/Retail companies and 28 available judges,"Mike Belatti - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Jason McCaherty - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Aaron Cleavinger - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","John Schroeder - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, B2C Physical Products, Manufacturing/Supply Chain, Energy/Defense/Environmental","Tom Marek - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Theron Sarda - Commerce/Retail. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, Commerce/Retail","Rudy Reyes Jr. - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Peter Rienks - Commerce/Retail. All interests are Energy/Defense/Environmental, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS","Kerry McNeilly - Commerce/Retail. All interests are Manufacturing/Supply Chain, B2C Physical Products, Energy/Defense/Environmental, Commerce/Retail","Andreas Widmer - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Patrick McMahon - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental"
Samaritan,Commerce/Retail,108 since 5 Commerce/Retail companies and 24 available judges,"Maria Bailey - Commerce/Retail. All interests are Manufacturing/Supply Chain, Commerce/Retail","Aaron Cleavinger - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products",T. Drew Mitchell - Commerce/Retail. All interests are Commerce/Retail,"Michael Jennings - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Ruben Moreno - Commerce/Retail. All interests are Medical Device/Diagnostics, Commerce/Retail","Patrick Dolan - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain","Andreas Widmer - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Doon Wintz - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain",Joe Mueller - Commerce/Retail. All interests are Commerce/Retail,"Jeffrey Heinichen - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Mieczyslaw Jodziewicz - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, B2C Physical Products, Energy/Defense/Environmental"
SeekSmart,Commerce/Retail,116 since 4 Commerce/Retail companies and 17 available judges,"Ellen Dutton - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Mieczyslaw Jodziewicz - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, B2C Physical Products, Energy/Defense/Environmental","Richard Daniels - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain","Jason McCaherty - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Doon Wintz - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain","Michael Jennings - Commerce/Retail. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Jeffrey Heinichen - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Tom Marek - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Patrick Dolan - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain","Tiffany Tibbot - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Ryan Olander - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products"
Small Animal Coffee House,Commerce/Retail,119 since 3 Commerce/Retail companies and 11 available judges,"Mieczyslaw Jodziewicz - Commerce/Retail. All interests are Commerce/Retail, Advanced Materials, B2C Physical Products, Energy/Defense/Environmental","Rudy Reyes Jr. - Commerce/Retail. All interests are Commerce/Retail, B2C Physical Products","Richard Daniels - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain","Patrick Dolan - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain","Maria Bailey - Commerce/Retail. All interests are Manufacturing/Supply Chain, Commerce/Retail","Ellen Dutton - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Neil Kane - Commerce/Retail. All interests are Advanced Materials, Commerce/Retail, Energy/Defense/Environmental","Mike Belatti - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental",Joe Mueller - Commerce/Retail. All interests are Commerce/Retail,"Peter Rienks - Commerce/Retail. All interests are Energy/Defense/Environmental, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS",T. Drew Mitchell - Commerce/Retail. All interests are Commerce/Retail
Smart Foods,Commerce/Retail,121 since 2 Commerce/Retail companies and 10 available judges,Dom Gatto -  - Fill-in. All interests are Medical Device/Diagnostics,"Peter Rienks - Commerce/Retail. All interests are Energy/Defense/Environmental, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS","Benjamin Saydah -  - Fill-in. All interests are Energy/Defense/Environmental, Agriculture, Advanced Materials","Raegen Siegfried -  - Fill-in. All interests are Advanced Materials, Energy/Defense/Environmental","Mike Belatti - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Richard Daniels - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain",Phil Calandra -  - Fill-in. All interests are B2B Digital/SaaS,"Jim Farrington -  - Fill-in. All interests are Drug Development, Medical Device/Diagnostics","Pete Effler -  - Fill-in. All interests are B2B Digital/SaaS, Manufacturing/Supply Chain, Advanced Materials",Joe Mueller - Commerce/Retail. All interests are Commerce/Retail,James Kelly -  - Fill-in. All interests are Medical Device/Diagnostics
"The Wholesome Package, LLC",Commerce/Retail,127 since 1 Commerce/Retail companies and 4 available judges,James Kelly -  - Fill-in. All interests are Medical Device/Diagnostics,Tom Winter -  - Fill-in. All interests are Energy/Defense/Environmental,"Marty Curran -  - Fill-in. All interests are Manufacturing/Supply Chain, Energy/Defense/Environmental, Medical Device/Diagnostics",John Bevan Annaloro -  - Fill-in. All interests are Medical Device/Diagnostics,"Patrick Dolan - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain","Richard Daniels - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain",Joe Mueller - Commerce/Retail. All interests are Commerce/Retail,"Benjamin Saydah -  - Fill-in. All interests are Energy/Defense/Environmental, Agriculture, Advanced Materials","Raegen Siegfried -  - Fill-in. All interests are Advanced Materials, Energy/Defense/Environmental","Doon Wintz - Commerce/Retail. All interests are Commerce/Retail, Manufacturing/Supply Chain","Ruben Moreno - Commerce/Retail. All interests are Medical Device/Diagnostics, Commerce/Retail"
Venus Kenya Sacco Ltd ,Commerce/Retail,130 since 0 Commerce/Retail companies and 1 available judges,Tom Winter -  - Fill-in. All interests are Energy/Defense/Environmental,Joe Mueller - Commerce/Retail. All interests are Commerce/Retail,James Kelly -  - Fill-in. All interests are Medical Device/Diagnostics,"Ray Vanek -  - Fill-in. All interests are Agriculture, Manufacturing/Supply Chain, Energy/Defense/Environmental","Ruben Moreno - Commerce/Retail. All interests are Medical Device/Diagnostics, Commerce/Retail",John Bevan Annaloro -  - Fill-in. All interests are Medical Device/Diagnostics,"Raegen Siegfried -  - Fill-in. All interests are Advanced Materials, Energy/Defense/Environmental","Misha Shemyakin -  - Fill-in. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, Energy/Defense/Environmental","Pat Lemieux -  - Fill-in. All interests are Medical Device/Diagnostics, Drug Development","Marty Curran -  - Fill-in. All interests are Manufacturing/Supply Chain, Energy/Defense/Environmental, Medical Device/Diagnostics",Jason Sloan -  - Fill-in. All interests are Medical Device/Diagnostics
SpoRx Therapeutics Inc.,Drug Development,111 since 1 Drug Development companies and 9 available judges,"Martin Carrasco - Drug Development. All interests are Commerce/Retail, Advanced Materials, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental","William Harlan -  - Fill-in. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Physical Products, Energy/Defense/Environmental","Neil Kane -  - Fill-in. All interests are Advanced Materials, Commerce/Retail, Energy/Defense/Environmental","Dhiraj Mehra -  - Fill-in. All interests are Commerce/Retail, B2C Physical Products, Agriculture","Julie Moylan - Drug Development. All interests are Medical Device/Diagnostics, Manufacturing/Supply Chain, B2C Physical Products, Drug Development, Energy/Defense/Environmental",Sarah Shoemaker -  - Fill-in. All interests are ,"Ellen Dutton -  - Fill-in. All interests are Commerce/Retail, Manufacturing/Supply Chain, B2C Physical Products","Benjamin Saydah -  - Fill-in. All interests are Energy/Defense/Environmental, Agriculture, Advanced Materials",Brian Davis -  - Fill-in. All interests are B2B Digital/SaaS,"Jeffrey Hebig -  - Fill-in. All interests are Commerce/Retail, B2C Physical Products","Larry Augustin -  - Fill-in. All interests are B2B Digital/SaaS, Manufacturing/Supply Chain"
Van Heron Labs,Drug Development,126 since 0 Drug Development companies and 3 available judges,Tom Winter -  - Fill-in. All interests are Energy/Defense/Environmental,John Bevan Annaloro -  - Fill-in. All interests are Medical Device/Diagnostics,James Kelly -  - Fill-in. All interests are Medical Device/Diagnostics,"Michael Jennings -  - Fill-in. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Patrick Dolan -  - Fill-in. All interests are Commerce/Retail, Manufacturing/Supply Chain","Larry Augustin -  - Fill-in. All interests are B2B Digital/SaaS, Manufacturing/Supply Chain",Joe Mueller -  - Fill-in. All interests are Commerce/Retail,"Mike Belatti -  - Fill-in. All interests are Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Raegen Siegfried -  - Fill-in. All interests are Advanced Materials, Energy/Defense/Environmental","Benjamin Saydah -  - Fill-in. All interests are Energy/Defense/Environmental, Agriculture, Advanced Materials","Maria Bailey -  - Fill-in. All interests are Manufacturing/Supply Chain, Commerce/Retail"
Environmentalists for Education (E4E),Energy/Defense/Environmental,109 since 5 Energy/Defense/Environmental companies and 24 available judges,"Paul Coletti - Energy/Defense/Environmental. All interests are Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Robert Fulton - Energy/Defense/Environmental. All interests are Agriculture, Energy/Defense/Environmental","Emily Stoler - Energy/Defense/Environmental. All interests are Energy/Defense/Environmental, Medical Device/Diagnostics, Drug Development, B2C Physical Products",Tom Winter - Energy/Defense/Environmental. All interests are Energy/Defense/Environmental,"Ted Kubala - Energy/Defense/Environmental. All interests are Medical Device/Diagnostics, Manufacturing/Supply Chain, Advanced Materials, Energy/Defense/Environmental, B2B Digital/SaaS","Marty Curran - Energy/Defense/Environmental. All interests are Manufacturing/Supply Chain, Energy/Defense/Environmental, Medical Device/Diagnostics","Tom Marek - Energy/Defense/Environmental. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Bob Jank - Energy/Defense/Environmental. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Physical Products, Medical Device/Diagnostics, Energy/Defense/Environmental","Martin Carrasco - Energy/Defense/Environmental. All interests are Commerce/Retail, Advanced Materials, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental","Michael Jennings - Energy/Defense/Environmental. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Mike Belatti - Energy/Defense/Environmental. All interests are Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental"
