Company,Category,Queue Number,# Judges,# Matching,# Fill-In,Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Judge 8,Judge 9,Judge 10,Judge 11,Judge 12
Gehr Co.,B2C Digital/Apps,16,11,11,0,Johnny Whichard,Scott Voulgaris,Kristin Marcuccilli,Gary Sobolewski,Kristopher Priemer,Rita Zinn,Michael Seiler,Tom Wilkas,Paul Miller,Malaina Weldy,Tyler Hudson-Crimi
GiftShop,B2C Digital/Apps,17,11,11,0,Manish Shah,Scott Voulgaris,Ryan Kreager,Tim O'Neill,Nick Schappler,Joe Shonkwiler,Pat Sigmon,David Hemler,Philip McBride,Malaina Weldy,Tyler Hudson-Crimi
GotInfo,B2C Digital/Apps,18,11,11,0,Maryann Wolff,Logan Herzog,Tim O'Neill,Tim Connors,Nitesh Gudapati,Nick Schappler,Michael Seiler,Tom Wilkas,Mike Ferrigno,Ryan Mitchell,Jim Davis
JubileeDAO & Currency for the Common Good,B2C Digital/Apps,19,11,11,0,German Estrada,Maryann Wolff,Eric Meyers,Tim Connors,Peter Flood,Will Alverson,Nick Schappler,Colin Keeler,Jim Hunt,Ryan Mitchell,Jim Davis
Kopa,B2C Digital/Apps,20,11,11,0,Scott Berg,German Estrada,Tim Kish,Tim Connors,Will Alverson,Rita Zinn,Mark Dixon,Justin Hintz,Alyssa Jank,Dominic Go,Jim Davis
Lawroo,B2C Digital/Apps,22,11,11,0,Daniela Tomas,Manish Shah,Jane Hennessy,Jay DeCoons,Colin Keeler,Craig Anderson,BIll Rossiter,David Brenner,Craig Chval,Ryan Mitchell,Jim Davis
Maet,B2C Digital/Apps,24,11,11,0,German Estrada,Scott Voulgaris,Tim Connors,Jay DeCoons,BIll Rossiter,Kristopher Priemer,Will Alverson,Chris Orenchuk,Patrick Farran,Adam Sellke,Jim Davis
Maia,B2C Digital/Apps,27,11,11,0,Manish Shah,Logan Herzog,Kristin Marcuccilli,Ryan Kreager,Thomas Jensen,Tony Nguyen,Chris Orenchuk,Syzmon Ryzner,Mike Ferrigno,Malaina Weldy,Justin Obletz
Minerva,B2C Digital/Apps,30,11,11,0,German Estrada,Scott Voulgaris,Tim Connors,Jay DeCoons,Nick Schappler,Michael Seiler,Mark Dixon,John Gleason,Gordon Geraci,Dominic Go,Justin Obletz
MiniFort,B2C Digital/Apps,33,11,11,0,Manish Shah,Daniela Tomas,Eric Meyers,Tim Kish,Tom Wilkas,BIll Rossiter,Pat Sigmon,Syzmon Ryzner,Jim Hunt,Dominic Go,Justin Obletz
Mr. Barber on the Move,B2C Digital/Apps,36,11,11,0,Logan Herzog,Johnny Whichard,Tim Connors,Jane Hennessy,David Hemler,Justin Hintz,Chris Orenchuk,Shelley Simon,Mike Ferrigno,Malaina Weldy,Justin Obletz
MyStory,B2C Digital/Apps,39,11,11,0,Scott Berg,Maryann Wolff,Ryan Kreager,Eric Meyers,Chris Orenchuk,Colin Keeler,Thomas Jensen,David Hemler,Brett Belock,Malaina Weldy,Justin Obletz
Nora+,B2C Digital/Apps,42,11,11,0,Johnny Whichard,Daniela Tomas,Tim O'Neill,Jane Hennessy,Michael Seiler,Mark Dixon,Rahul Miglani,John Gleason,Paul Miller,Dominic Go,Matt VanderGoot
